channel_id,video_id,video_title,author,comment,publishedAt,is_reply,reply_to,clean_comment,label
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@NghĩaTrịnh-d6u,"Xin chúc mừng anh em Cali , ba sọc , ba que , đu càng một ngày lễ 30/04 tan khóc nha còn tui nghĩ lễ lớn đi chơi ăn mừng ngày này 😢",2025-04-27T13:29:27Z,False,,xin chúc_mừng anh_em cali ba sọc ba que đu_càng một ngày lễ 30 04 tan khóc nha còn tui nghĩ lễ lớn đi chơi ăn_mừng ngày,0
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@cuong.nt1985,LŨ MỌI RỢ CON HOANG VNCH CHÀO BỐ NÀO😮 LŨ SÚC VẬT BÚ CÀNG 😊 HÂY HÂY,2025-04-25T12:54:46Z,False,,lũ mọi rợ con hoang_vnch chào_bố nào lũ súc_vật bú hây hây,0
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@hduc5052,"Dư luận viên 3 củ ""vì tự do dân chủ"" VOA bị cắt lương thì cũng nghỉ luôn. Lương tâm ""vì tự do dân chủ"" đâu rồi vậy😂😂",2025-04-24T22:52:46Z,False,,dư_luận_viên 3 củ tự_do_dân_chủ voa cắt lương nghỉ luôn lương_tâm tự_do_dân_chủ đâu,0
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@angKhoaNguyen-ko3nj,"Đương nhiên, khi nail tộc đã nghỉ thì cần gì phải làm nữa, nhiệm vụ hoàn thành rồi. 😎😎😎",2025-04-29T09:23:18Z,True,@hduc5052,đương_nhiên nail_tộc nghỉ làm nhiệm_vụ hoàn_thành,0
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@angKhoaNguyen-ko3nj,Đang tự an ủi bản thân vì bị mất tiền thuê à? 😂😂,2025-04-29T09:23:34Z,True,@hduc5052,tự an_ủi bản_thân mất tiền thuê à,0
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@Hatbuinho79,"VOA chết rồi à mọi người? Nhớ VOA quá, haha😂😂😂 hoá ra không chết mà chỉ tắt thở thôi😅",2025-04-13T05:06:50Z,False,,voa chết à mọi người nhớ voa quá haha hóa chết tắt_thở thôi,1
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@vukhanh2012,"Nhân viên bị cho về vườn hết rồi, ngay cả website đọc báo của voa không có tin mới trong 1 tháng rồi",2025-04-14T02:23:47Z,True,@Hatbuinho79,nhân_viên về vườn hết website đọc báo voa tin mới trong 1 tháng,0
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@HồHánnô-d2j,Vtc... Tại sao lại chết vậy,2025-04-18T10:06:54Z,True,@Hatbuinho79,vtc tại_sao chết,1
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@Tommy-yp7lb,​@@HồHánnô-d2j bị Trump khoá mõm rồi 😷,2025-04-20T07:07:48Z,True,@Hatbuinho79,d2j trump khóa mõm,1
UCRdD55JrlRDzHeec3bKrH4g,AMuRsh1nGTY,Vấn đề bản quyền giữa các nhà sáng tạo nghệ thuật và AI | VOA Tiếng Việt,@HồHánnô-d2j,@Tommy-yp7lb  VTC bị độc tài Trump khoá mõm rồi à,2025-04-20T07:34:55Z,True,@Hatbuinho79,yp7lb vtc độc_tài trump khóa mõm à,1
